668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-604809148551720960	RT MyFoxHouston DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx 
668-604809196639428608	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604809200821149696	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604809358606671872	AlChestBreach Would it be good with you if I moved to the moon All this rain amp flooding we are getting here is horrible HoustonFlood
668-604809382564478977	RT KickinRocks22 Aldine Westfield in spring houstonflood 
668-604809408271413248	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-604809415426842624	Its raining more than cats amp dogs its raining dinosaurs Plz stay inside right now ppl houstonflood KHOUweather 
668-604809443285434368	RT HCOHSEM FEMA Disaster Assistance  or call 1800621FEMA 3362 Register Now HouNews houstonflood
668-604809473346015232	Its raining more than cats amp dogs its raining dinosaurs Plz stay inside right now ppl houstonflood KPRC2 
668-604809558612058113	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604809566975488000	Staahhp Freeways flooding Metro rail service suspended Be safe everyone houstonflood
668-604809649922019328	These flash flood alerts dont even scare me anymore  somanyalerts houstonflood
668-604809780058652672	RT Mega101Houston Flash Flood Warnings in Harris and Fort Bend Counties until 730pm houstonflood
668-604809787906195456	RT mangolassi93 Just hold on were going home houstonflood 
668-604809855061360640	FLASH FLOOD WARNING for Austin Colorado Fort Bend Waller amp Wharton counties until 900 PM FOX26Wx HouWx houstonflood YGCWA
668-604809867572985856	This weather sucks Im stranded houstonflood ktrk13 kprc2 khou11 httpstcoC2S8OJuIvV
668-604809892927406081	RT MyFoxHouston FLASH FLOOD WARNING for Austin Colorado Fort Bend Waller amp Wharton counties until 900 PM FOX26Wx HouWx houstonflo
668-604809921356365825	RT MyFoxHouston DEVELOPING METROHouston suspends all rail service red green amp purple lines until weather improves FOX26Wx HouWx 
668-604810000876240896	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604810039577083904	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604810078122819584	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604810079678767105	houstonflood  east downtown 
668-604810081696284672	RT MyFoxHouston FLASH FLOOD WARNING for Austin Colorado Fort Bend Waller amp Wharton counties until 900 PM FOX26Wx HouWx houstonflo
668-604810085647286273	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604810131671359488	One Houston Chiver has it rightthis weather is being a  houstonflood houstonweather 
668-604810133366013952	Floods cant stop the grind houstonflood texasflood houston htx hou startup streetwear httpstcoINrufouwmx
668-604810162818318336	The houstonflood is back 
668-604810236851974144	2 hours one stalled car and 4 kind strangers later we finally are back on the road to go home  houstonflood safe
668-604810238651342848	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604810285472358400	Rules of driving through rain invest in a 4X4 houstonflood
668-604810433560592384	bet were gonna get some great flooding again  houstonflood
668-604810435540353024	HouNews houstonflood abc13storm whiteoakbayou HoustonHeights abc13houston houstonweather 
668-604810440493785088	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604810452904706048	RT AllegrainIraq Staahhp Freeways flooding Metro rail service suspended Be safe everyone houstonflood
668-604810455408713728	Houston traffic just got a lot worse HoustonFlood 
668-604810573407125504	houstonflood at its finest Our truck almost flooded  
668-604810585641852928	RT HoustonChivers One Houston Chiver has it rightthis weather is being a  houstonflood houstonweather 
668-604810598694694912	All quiet in the Heights after some crazy rain showers in the late afternoon houstonflood
668-604810648657100800	Fuuuuuck houstonflood
668-604810728155906048	RT ShernMinKHOU My weather hero DavidPaulKHOU Manning the forecast KHOU houstonflood 2 
668-604810849648132096	Houstons new traffic problem  houstonflood
668-604810912755806208	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-604810935295877120	High water on roads TurnAroundDontDrown Houston houstonflood 
668-604810935362936833	RT HaroldItz Texas gets more federal disaster aid than any other state Its senators voted against Sandy relief HoustonFlood httpst
668-604810935509741568	RT sportsmediaLM astros minutemaidpark houstonflood 
668-604811028702982144	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604811030397489153	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604811058138652672	RT sportsmediaLM astros minutemaidpark houstonflood 
668-604811088186605568	RT ImJessicaWilley Street flooding at Chimney Rock amp S Braeswood abc13 houstonflood 
668-604811099267997696	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604811139986399233	Houston Im not there but yall are in my thoughts houwx hounews houstonflood httpstcouFsRQho04D
668-604811215886381056	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604811222609846272	TonyFan1420 and its still raining HTown houstonflood 
668-604811250212552704	houstonflood
668-604811263814864897	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604811391204130816	This rain needs to go to California houstonflood
668-604811401777967104	Ando miedo voz ahorita me cago houstonflood
668-604811409352826881	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604811566681169920	RT MichelleAngeloo abc13eyewitness HoustonFlood Ridgemont Elementary 
668-604811575413739520	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604811589875691520	Obtenga recursos para inundaciones aqui  o llamando al 18775008645 HoustonFlood RedCross httpstcoONOJxnblLt
668-604811590630653952	I cant believe Im watching the news about HoustonFlood again Stay home tonight if you can
668-604811609299558400	Thank you to MikacCagnan JetsGM for saving the day He drove our standard car out of the houstonflood waters greatgiy
668-604811646222123008	Saturday night in pajamas by 730 cuz houstonflood
668-604811707911782400	RT RedCrossDFW Houstonflood may continue Avoid flood waters Get to high ground and stay safe TXOKRC httpstcork8bVyjGGv
668-604811806331285504	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604811817697673216	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604811862731988992	Hey its raining really hard againawesome Houston houstonflood houstonweather stahp
668-604812024598495234	RT HoustonHeights All quiet in the Heights after some crazy rain showers in the late afternoon houstonflood
668-604812077438369792	RT MyFoxHouston FLASH FLOOD WARNING for Austin Colorado Fort Bend Waller amp Wharton counties until 900 PM FOX26Wx HouWx houstonflo
668-604812151799226368	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604812216081129472	This houston rain be making me sad prom celebrations being cancelled  well at least im not in high school houstonflood
668-604812216492302336	RT HoustonHeights All quiet in the Heights after some crazy rain showers in the late afternoon houstonflood
668-604812245185503232	RT BrotherJesse Sis Malaika Muhammad honored today by Councilman DwightBoykins for Rescuing 7 PPL during the HoustonFlood APDTA htt
668-604812259148201984	This dog was found 52615 in Pearland after the HoustonFlood lostdog He misses his family 
668-604812270137278464	Fleming on the Eastside houstonflood 
668-604812288290267136	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604812308670316545	Thx KPRCEricBraate LaurenKPRC KPRC2WEATHER KPRC2 HOUflood houstonflood HouWeather houwx 
668-604812316899614721	Going to work in Houston likehoustonflood 
668-604812330879229953	RT murphy4houston Thanks for the great coverage of HoustonFlood CleanUpDay volunteers by NewsFixHouston   BackM
668-604812333378994176	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604812366023254016	Its raining Again It may be time to invest in gopherwood HoustonFlood BuildAnArk
668-604812389855293440	RT bmaclogic FOX26Michelle this was at the Astros houstonflood 
668-604812396448739330	And the rain continues TexasFlood HoustonFlood abc13eyewitness flood 
668-604812409522380801	HoustonFlood Part deux
668-604812472936103936	RT abc13houston From HoustonISD Westbury HS graduation delayed until 730pm HoustonFlood
668-604812480712306688	Raining again houstonflood
668-604812510085062656	Rain in Houston houstonflood 
668-604812527780765696	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604812530121179136	RT abc13houston CANCELED EVENT Foam Glow 5K has canceled tonights event at Sam Houston Raceway due to the severe weather houstonflood 
668-604812547544383488	RT ThatFilmGuyAJ This rain needs to go to California houstonflood
668-604812570839519232	RT ADsXe Going to work in Houston likehoustonflood 
668-604812585121280000	The flooding on Crawford one block away from my house  HoustonFlood  Baldwin Park httpstcoGTXaehKBHP
668-604812610379251712	Jersey Village 5 minutes ago abc13storm houstonflood 
668-604812645561081856	RT HoustonHeights All quiet in the Heights after some crazy rain showers in the late afternoon houstonflood
668-604812651055607808	RT ADsXe Going to work in Houston likehoustonflood 
668-604812655866449920	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604812723939999744	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604812777832615936	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604812988340539392	RT KassiaMicek And the rain continues TexasFlood HoustonFlood abc13eyewitness flood 
668-604813044271575040	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604813052458860544	RT AmandaPantsTX Thats a garbage can floating down our street and car getting caught in the rising water HoustonFlood Montrose http
668-604813072583122944	RT Rainbowdonkee Good reminder for right now in Houston TexasFlood houstonflood 
668-604813108889059328	RT AstrosTrainGuy If you ever thought being up here was glamorous lol Astros picsfromthetrain behindthescenes houstonflood 
668-604813112533852160	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604813120259760128	RT MaZekMoon All my Houston people how is your area right now I heard some places are starting to flood Is that true HoustonWeathe
668-604813155114455041	AlyosiaFriedman SophieParker MikeMacCagnan saved our car from the houstonflood  great neighbors
668-604813188039733248	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604813256964726784	I feel ya lol HoustonFlood 
668-604813277961412608	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604813296730923008	RT KassiaMicek And the rain continues TexasFlood HoustonFlood abc13eyewitness flood 
668-604813326573371392	RT KassiaMicek And the rain continues TexasFlood HoustonFlood abc13eyewitness flood 
668-604813395443908609	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604813397616500736	RT AmandaPantsTX Thats a garbage can floating down our street and car getting caught in the rising water HoustonFlood Montrose http
668-604813408983121922	RT PageThink Our design at buffalobayou was put to the test during the HoustonFlood Were glad it passed  http
668-604813411541618688	RT antonyjlira HoustonFlood Part deux
668-604813427932987392	RT PatriciaOnTV   marissaramseyy coming out of man hole cover abc13eyewitness HoustonFlood ABC13 
668-604813438162837504	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604813472430321664	RT KHOU W Loop is gridlock in both directions in BellaireMeyerland area due to high water over the mainlanes  HoustonFlood 
668-604813511881945088	RT ADsXe Going to work in Houston likehoustonflood 
668-604813559306928128	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604813610204790784	RT iselaarispe abc13eyewitness houstonflood Red Bluff Rd Pasadena Tx 
668-604813621948874753	RT HerzogWeather Stay off the streets if you can Turn around dont drown Flash flood warning continues houstonflood  httpstcoQ5
668-604813645466365954	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
668-604813663946481664	Stupid warnings interrupting my tv flashflood houstonflood
668-604813696133496832	RT Breaking911 PHOTO Flooding Inside Minute Maid Park During whitesoxastros Game HoustonFlood 
